,상호명,상권업종소분류코드,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,위도,경도
61192,8800켄터키치킨,Q05A08,후라이드/양념치킨,서울특별시,도봉구,창2동,창동,서울특별시 도봉구 도봉로110아길 9,37.6457671554781,127.03759901517799
61210,더치킨박스,Q05A08,후라이드/양념치킨,서울특별시,동대문구,전농1동,전농동,서울특별시 동대문구 전농로 211-4,37.5829211574654,127.053376490127
61270,팔칠,Q05A08,후라이드/양념치킨,서울특별시,구로구,구로5동,구로동,서울특별시 구로구 공원로 34,37.5004381417494,126.891673776779
61291,페리카나치킨월계2점,Q05A08,후라이드/양념치킨,서울특별시,노원구,월계2동,월계동,서울특별시 노원구 월계로49길 5,37.6293023139357,127.05619859928998
61398,푸라닭,Q05A08,후라이드/양념치킨,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 능동로 388,37.5636878859113,127.083581922244
61403,꼬꾸뱅치킨독산점,Q05A08,후라이드/양념치킨,서울특별시,금천구,독산4동,독산동,서울특별시 금천구 독산로74길 19,37.4687410237623,126.903446682745
61488,착한통닭,Q05A08,후라이드/양념치킨,서울특별시,관악구,삼성동,신림동,서울특별시 관악구 원신2길 5,37.4715155219864,126.932890056519
61549,치킨678청담1호점,Q05A08,후라이드/양념치킨,서울특별시,강남구,청담동,청담동,서울특별시 강남구 삼성로 721,37.5200568683711,127.049125829778
61556,호식이두마리치킨,Q05A08,후라이드/양념치킨,서울특별시,은평구,갈현2동,갈현동,서울특별시 은평구 갈현로23길 19,37.6171589039291,126.912065447518
61621,60계치킨,Q05A08,후라이드/양념치킨,서울특별시,양천구,신월6동,신월동,서울특별시 양천구 신월로10길 8,37.5164259185532,126.840398063347
61622,훌랄라참숯치킨,Q05A08,후라이드/양념치킨,서울특별시,강서구,화곡8동,화곡동,서울특별시 강서구 곰달래로 157,37.53093262828379,126.85053718614401
61627,더치킨맨,Q05A08,후라이드/양념치킨,서울특별시,서대문구,홍제2동,홍제동,서울특별시 서대문구 통일로 364,37.5828248282336,126.950346846948
61635,BBQ치킨,Q05A08,후라이드/양념치킨,서울특별시,중랑구,면목7동,면목동,서울특별시 중랑구 면목로39길 59,37.5803798559957,127.084169890108
